next_result,weighted_average5,weighted_average10
1,252.4666667,-25.23636364
0,1359.266667,1279.327273
0,910.9333333,1050.236364
1,732.0666667,1015.636364
0,2468.466667,2903.2
-1,1744.533333,2533.545455
-1,-508.4,459.1454545
0,-1585.133333,-816.1454545
-1,-1561.266667,-1183.781818
1,-2199,-2267.327273
0,703.6,77.94545455
0,802.8666667,189.5818182
1,903.7333333,493.8909091
1,2671.266667,2555.818182
0,2458.8,2916.218182
-1,1931.6,2906.6
0,199.5333333,1439.018182
1,-72.06666667,1072.454545
1,1388.4,2294.727273
1,2303.733333,3102.690909
0,3213.133333,4078.654545
1,1756.266667,2917.763636
-1,13315.13333,14618.01818
1,89.46666667,3250.963636
1,38,2996.381818
1,1674.2,4243.272727
-1,4851.133333,7112.109091
0,-1010.533333,1305.345455
-1,-1143.066667,162.8363636
1,-3121,-2311.363636
-1,2575.8,2583.909091
1,310.7333333,368.5090909
-1,1754.266667,1634.109091
0,480.2666667,764.8727273
-1,-246.2,152.9454545
1,-1546,-1137.236364
-1,270.1333333,325.3272727
0,-370.6666667,-322.2
1,30.73333333,-107.2727273
1,659.6,475.8363636
1,2530.133333,2460.127273
0,4311.266667,4723.563636
1,2758.2,3842.781818
-1,3020.666667,4545.836364
0,68.13333333,1961.109091
0,-430.4666667,1241.545455
-1,-696.4,512.1454545
1,-4544.8,-3892.981818
-1,-2411.466667,-2821.854545
1,-2702.866667,-3766.472727
1,1542.866667,10.92727273
1,2258.133333,1065.745455
1,3020.333333,2453.145455
-1,3067.666667,3375.327273
1,221.0666667,1284.054545
-1,1356.266667,2582.763636
1,-3465.133333,-2182.545455
-1,-67.6,420.2909091
-1,-1773.266667,-1663.981818
1,-2485.933333,-2922.963636
0,1543.8,617.9272727
-1,1402.266667,719.5818182
0,68.6,-180.2727273
1,451.8,370.2363636
1,1663.6,1849.545455
-1,1907.6,2450.654545
1,-508.4666667,255.7636364
-1,1061.733333,1642.636364
-1,-814.4,-155.3454545
-1,-1552.4,-1174.4
0,-2188.533333,-2244.618182
-1,-1445.866667,-1958.545455
0,-1825.266667,-2589.054545
1,-1406.933333,-2467.181818
1,-190.1333333,-1334.6
0,1501.266667,549.2
-1,1555.066667,1092.781818
0,-296.4666667,-291.2
0,-178.6666667,3.563636364
0,-604,-345.8545455
-1,-813.2,-671.4363636
0,-2250.4,-2344.181818
0,-953,-1472.218182
0,-911.4666667,-1586.854545
-1,-529,-1311.727273
0,-3567.266667,-4320.127273
-1,-2358.066667,-3473.218182
1,-2554.133333,-3818.036364
-1,1052.333333,-435.4909091
-1,254.4666667,-870.1454545
1,-1315.533333,-2131.127273
0,-199.2666667,-854.5454545
1,-213.6666667,-641.1272727
1,1612.733333,1349.563636
-1,4295.066667,4329.327273
1,1713.733333,2477.872727
0,2636.266667,3723.545455
-1,1419.466667,2866.127273
0,-551.2,975.8727273
0,-664.5333333,509.6
0,-565.5333333,116.6
-1,157,436.0727273
1,-399.3333333,-377.1454545
1,1570.266667,1391.290909
-1,3670.2,3734.272727
1,1678.266667,2356.109091
0,1784.8,2752.854545
-1,437.6,1658.8
0,-677.2,507.4727273
-1,-421.3333333,392.1454545
-1,-971.3333333,-557.3818182
0,-1975.4,-1950.254545
0,-1233.533333,-1692.072727
0,-500.0666667,-1216.345455
0,-199.3333333,-939.9090909
1,0.8,-649.3272727
0,2711.266667,2230.509091
0,1765.533333,1896.909091
0,699.0666667,1241.454545
1,303.6666667,1017.363636
-1,864.6666667,1608.036364
0,-345.2666667,405.3636364
0,-622.1333333,-162.2545455
0,-343.2666667,-161.6909091
1,-489.3333333,-488.1818182
-1,289.3333333,124.1818182
0,-637.7333333,-811.5454545
0,96.6,-125.0545455
0,-51.8,-205.7454545
0,258.4666667,139.4909091
0,358.2,322.1454545
0,627.6666667,674.6181818
0,750.5333333,926.5818182
-1,239.2666667,524.6727273
-1,-804.4,-495.8
0,-2950.2,-2806.909091
1,-1864.4,-2230.018182
-1,-488,-1217.945455
-1,-915.1333333,-1750.963636
1,-2325.866667,-3235.254545
0,-617.8,-1703
1,149.4666667,-775.7090909
1,1214.733333,527.8363636
-1,2550.8,2237.363636
0,626.8,905.8
1,-225.6666667,327.8727273
0,512.4,1052.781818
-1,269.5333333,818.3454545
-1,-582.7333333,-138.1636364
